project_name,oneliner,git_namespace,git_url,platform,topics,rubric,last_update,stargazers_count,number_of_dependents,stars_last_year,project_active_checkbox,dominating_language,organization,organization_user_name,languages,homepage,created,license,total_commits_last_year,total_number_of_commits,last_issue_closed,open_issues,closed_pullrequests,closed_issues,open_pullrequests,reviews_per_pr,community_development_distribution_score,last_released_date,last_release_tag_name,good_first_issue,contributors,accepts_donations,donation_platforms,code_of_conduct,contribution_guide,organization_avatar,dependents_repos
ocpp,Python implementation of the Open Charge Point Protocol.,mobilityhouse,https://github.com/mobilityhouse/ocpp.git,github,"ocpp,framework,client,server,electric-vehicles",Mobility and Transportation,2022-02-20 12:15,240,0,132,checked,Python,mobilityhouse,The Mobility House,"Python,Makefile",,2019-05-09 07:25,MIT,35,118,2022-02-09 15:00,64,96,240,11,1.50000000,0.32110092,2022-01-12 10:53,0.12.0,0,16,,,,,https://avatars.githubusercontent.com/u/5763064?v=4,
matpower,"A package of M-files for solving power flow, continuation power flow and optimal power flow problems using MATLAB or Octave.",MATPOWER,https://github.com/MATPOWER/matpower.git,github,"matpower,matpower-github",Energy Modeling and Optimization,2022-02-19 14:17,238,0,48,checked,MATLAB,MATPOWER,MATPOWER Development,"MATLAB,TeX,Shell,Dockerfile,M",https://matpower.org,2016-12-16 19:12,CUSTOM,42,2205,2022-02-14 22:15,10,30,127,2,0.20000000,0.01701323,2020-10-08 23:57,7.1,0,8,,,,checked,https://avatars.githubusercontent.com/u/22669039?v=4,
emonpi,"The OpenEnergyMonitor system has the capability to monitor electrical energy use / generation, temperature and humidity.",openenergymonitor,https://github.com/openenergymonitor/emonpi.git,github,"emonpi,hardware-designs,raspberry-pi,energy-monitor,arduino,emoncms",Energy Monitoring and Control,2022-02-20 06:41,236,0,31,checked,C++,openenergymonitor,OpenEnergyMonitor,"C++,Shell,Python,C,PHP,Makefile",https://guide.openenergymonitor.org/setup,2015-02-13 22:57,MIT,6,1463,2022-02-01 02:22,11,84,124,1,0.00000000,0.22589286,2021-09-21 16:43,2.9.4,0,17,,,,,https://avatars.githubusercontent.com/u/758944?v=4,
co2-data,Data on CO2 and greenhouse gas emissions by Our World in Data.,owid,https://github.com/owid/co2-data.git,github,"co2-emissions,greenhouse-gas-emissions,environment,energy",Emission Observation and Modeling,2022-02-19 00:59,235,0,174,checked,Python,owid,Our World in Data,Python,https://ourworldindata.org/co2-and-other-greenhouse-gas-emissions,2020-08-06 13:02,GPL-3.0,33,72,2022-01-26 09:12,1,6,21,0,0.16666667,0.33823529,,,0,5,,,,,https://avatars.githubusercontent.com/u/14187135?v=4,
stationaRy,Get hourly meteorological data from one of thousands of global stations.,rich-iannone,https://github.com/rich-iannone/stationaRy.git,github,"r,met-data,dataset,global",Climate and Earth Science,2022-01-24 05:15,234,0,13,,R,ropensci,,R,http://rich-iannone.github.io/stationaRy/,2013-11-21 02:06,CUSTOM,0,918,2021-01-14 22:49,4,4,26,0,0.00000000,0.00443951,2019-09-25 15:01,v0.5.0,0,4,,,checked,,https://avatars.githubusercontent.com/u/1200269?v=4,
Global Power Plant Database,"A comprehensive, global and open source database of power plants.",wri,https://github.com/wri/global-power-plant-database.git,github,"open-data,open-datasets,energy,energy-data,free-datasets,climate,climate-data",Datasets on Energy Systems,2022-02-12 21:28,233,0,68,checked,HTML,wri,World Resources Institute,"HTML,Jupyter Notebook,Python",,2018-04-09 22:00,MIT,2,51,2018-12-04 22:22,26,0,4,3,0.00000000,0.22000000,2018-06-11 04:34,v1.1.0,0,2,,,,checked,https://avatars.githubusercontent.com/u/4615146?v=4,
Pastas,An open-source Python framework for the analysis of groundwater time series.,pastas,https://github.com/pastas/pastas.git,github,"hydrology,groundwater,python,timeseries,analysis,pastas",Salt and Fresh Water,2022-02-13 18:06,233,7,87,checked,Jupyter Notebook,Pastas,pastas,"Jupyter Notebook,Python",http://pastas.readthedocs.io/,2016-04-15 07:29,MIT,216,1885,2022-01-04 08:16,27,133,296,2,1.90000000,0.42647956,2022-01-04 08:18,v0.19.0,0,12,,,checked,checked,https://avatars.githubusercontent.com/u/18461359?v=4,"ykato27/Time-Series-Forecasting,mlr07/hydro-tools,pastas/metran,MAMBA-python/course-material,ArtesiaWater/hydropandas,pastas/pastastore,KWR-Water/hgc"
MITgcm,A flexible non-hydrostatic formulation that efficiently simulates fluid phenomena over a wide range of scales.,MITgcm,https://github.com/MITgcm/MITgcm.git,github,"ocean-modelling,mitgcm,gfd,automatic-differentiation,data-assimilation,exoplanets,climate-science",Salt and Fresh Water,2022-02-17 09:52,228,0,55,checked,Fortran,MITgcm,MITgcm,"Fortran,C,MATLAB,Jupyter Notebook,Shell,Python,Sage,HTML,Makefile,Perl,Roff,TeX,M,Slice,Terra,Limbo,Mercury,Objective-C,ColdFusion,Awk,Dockerfile,sed,Verilog",http://mitgcm.org/,2018-01-31 20:38,MIT,198,19610,2022-02-15 21:41,130,388,475,30,1.10000000,0.49470548,2021-06-16 17:39,checkpoint67z,1,51,,,,,https://avatars.githubusercontent.com/u/11047419?v=4,
Bike Index,"Bike registration that works: online, powerful, free.",bikeindex,https://github.com/bikeindex/bike_index.git,github,,Mobility and Transportation,2022-02-06 10:43,224,0,15,checked,Ruby,bikeindex,Bike Index,"Ruby,Haml,HTML,SCSS,JavaScript,CSS,CoffeeScript,Shell,Dockerfile",https://bikeindex.org,2013-07-25 21:52,AGPL-3.0,314,3765,2022-02-15 20:19,73,1855,2114,16,0.00000000,0.12995470,,,0,24,,,,,https://avatars.githubusercontent.com/u/4251544?v=4,
MudPi,"A scalable smart garden system that allows you to maintain controls, monitor conditions, and sustainably manage resources of your garden.",mudpi,https://github.com/mudpi/mudpi-core.git,github,"raspberry-pi,python,redis,arduino,garden,automation",Agriculture and Nutrition,2022-02-20 06:41,223,0,35,checked,Python,mudpi,MudPi,"Python,JavaScript",https://mudpi.app,2018-09-02 17:14,MIT,235,579,2021-05-25 15:52,3,17,35,1,0.70000000,0.19143577,2021-05-25 15:40,v0.10.0,0,5,,,,,https://avatars.githubusercontent.com/u/60322856?v=4,
taxize,Allows users to search over many taxonomic data sources for species names (scientific and common) and download up and downstream taxonomic hierarchical information.,ropensci,https://github.com/ropensci/taxize.git,github,"taxonomy,data,api,biodiversity,biology,rstats,nomenclature,darwincore,taxize,api-wrapper,r,r-package",Life Forms and Biodiversity,2022-02-16 18:44,222,0,19,checked,R,ropensci,rOpenSci,"R,Makefile",https://docs.ropensci.org/taxize,2011-05-19 15:05,CUSTOM,14,2302,2022-02-04 02:03,33,194,855,0,2.00000000,0.10523560,2020-10-30 00:50,v0.9.99,0,32,,,,checked,https://avatars.githubusercontent.com/u/1200269?v=4,
DeepForest,Python Package for Tree Crown Detection in Airborne RGB imagery.,weecology,https://github.com/weecology/DeepForest.git,github,,Life Forms and Biodiversity,2022-02-18 01:44,220,21,110,checked,JavaScript,weecology,Weecology,"JavaScript,Python,CSS",https://deepforest.readthedocs.io/,2018-03-07 20:22,MIT,367,528,2022-02-07 15:01,7,87,304,1,0.00000000,0.62025316,2021-06-06 03:46,1.0.0,1,9,,,,,https://avatars.githubusercontent.com/u/1156696?v=4,"weecology/NeonSpeciesBenchmark,ai-in-actiune/tree-counting-and-classification-in-images,brandonTheProgram/MNIST-Classification,ecoulson/CS153project,FelipeSBarros/DeepForestSanJuan,rociopey/landslidedetectionsquad,CharlesAuthier/tree-detection,weecology/DeepTreeAttention,Bright-Sheep/Hack4Nature,ZXX8888/test,csw522110/cswcode,Kaslanarian/Kaggle-TPS-June,jonaselmesten/forest-classifier,blidiaahmed/Hack4Nature,wolf-hash/DeepForest-Counting-Trees,chhatrapalsinhzala/technostack,gelarpambudi/deepforest-api,ew318/Tree_Species_Recognition,zushicat/tree-crown-detection,SinghKislay/data-viz,weecology/DeepForest_demos"
HappyPlants,Creating your own plant database in a visual way.,morkro,https://github.com/morkro/happy-plants.git,github,"vuejs,pwa,plants,happy-plants,gardening,green-technologies,lernajs,houseplants,firebase",Agriculture and Nutrition,2022-02-12 19:08,217,0,66,checked,Vue,treflehq,,"Vue,JavaScript,TypeScript,CSS,HTML",https://happyplants.garden,2017-04-04 19:30,BSD-3-Clause,1,728,2022-01-27 09:10,11,71,114,4,0.00000000,0.01146132,2019-05-13 20:45,1.7.3,0,6,,,checked,,https://avatars.githubusercontent.com/u/49616756?v=4,
openair,An R package developed for the purpose of analyzing air quality data — or more generally atmospheric composition data.,davidcarslaw,https://github.com/davidcarslaw/openair.git,github,"air-quality,meteorology,air-quality-data,openair",Air Quality,2022-02-09 10:09,215,0,38,checked,R,HabitatMap,,"R,C++,C",http://davidcarslaw.github.io/openair/,2015-01-15 16:00,AGPL-3.0,34,903,2021-11-15 17:52,166,15,111,5,0.00000000,0.01035503,,,0,6,,,,,https://avatars.githubusercontent.com/u/4368191?v=4,
prediction-of-battery-cycle,Data driven prediction of battery cycle life before capacity degradation.,rdbraatz,https://github.com/rdbraatz/data-driven-prediction-of-battery-cycle-life-before-capacity-degradation.git,github,,Battery,2022-02-09 11:56,215,0,78,checked,Jupyter Notebook,pybamm-team,,"Jupyter Notebook,MATLAB",,2019-02-07 00:11,MIT,6,30,2021-12-20 13:52,1,7,21,0,0.14285714,0.58333333,,,0,5,,,,,https://avatars.githubusercontent.com/u/48961907?v=4,
Veros,Powerful tool that makes high-performance ocean modeling approachable and fun.,team-ocean,https://github.com/team-ocean/veros.git,github,"oceanography,python,parallel,multi-core,geophysics,jax,climate,distributed,gpu",Salt and Fresh Water,2022-02-17 16:59,212,3,82,checked,Python,team-ocean,TeamOcean,"Python,Cython,Cuda,C",https://veros.readthedocs.io,2017-04-06 10:59,MIT,286,1399,2022-02-11 08:30,11,254,290,2,0.00000000,0.09968520,2021-09-24 12:58,v1.4.2,0,9,,,,,https://avatars.githubusercontent.com/u/57774860?v=4,"team-ocean/veros-extra-setups,ucphhpc/nbi-jupyter-docker-stacks,team-ocean/veros-bgc"
Awesome Spectral Indices,A ready-to-use curated list of Spectral Indices for Remote Sensing applications.,davemlz,https://github.com/davemlz/awesome-spectral-indices.git,github,"python,gis,raster,remote-sensing,satellite-imagery,google-earth-engine,earth-engine,geographic-information-systems,javascript,awesome,landsat,sentinel,modis,landsat-8,sentinel-2,landsat-7,spectral-indices,spectral-index,radar,sentinel-1",Curated Lists,2022-02-18 19:09,210,0,210,checked,Python,Green-Software-Foundation,,Python,https://awesome-ee-spectral-indices.readthedocs.io/,2021-04-08 00:41,MIT,221,228,2021-12-01 12:33,0,1,2,0,0.00000000,0.28959276,2022-01-31 20:38,0.0.5,0,3,,,,,https://avatars.githubusercontent.com/u/84547728?v=4,
Global Forest Watch,"An online, global and near real-time forest monitoring tool.",Vizzuality,https://github.com/Vizzuality/gfw.git,github,"forest-monitoring,satellite-imagery,mapbox,deforestation,nextjs,react,redux",Life Forms and Biodiversity,2022-02-15 21:44,209,0,47,checked,JavaScript,Vizzuality,Vizzuality,"JavaScript,SCSS,HTML",https://www.globalforestwatch.org,2012-05-17 11:16,MIT,601,25658,2022-02-14 17:56,13,4060,4339,11,0.80000000,0.65592626,2020-12-17 15:48,6.4.4,0,59,,,,,https://avatars.githubusercontent.com/u/305994?v=4,
E3SM,A state-of-the-art fully coupled model of the Earth's climate including important biogeochemical and cryospheric processes.,E3SM-Project,https://github.com/E3SM-Project/E3SM.git,github,"climate-model,climate-science,climate,fortran,e3sm,snl-applications",Climate and Earth Science,2022-02-13 02:20,209,0,37,checked,Fortran,E3SM-Project,Energy Exascale Earth System Model Project,"Fortran,C++,TeX,Python,HTML,Perl,C,NCL,Shell,CMake,NewLisp,Makefile,PHP,JavaScript,XSLT,Roff,sed,MATLAB,CSS,Pascal,NASL,Puppet,Forth,Raku,SourcePawn",https://e3sm.org,2014-07-03 19:04,CUSTOM,1952,43229,2022-02-09 21:15,317,3201,4472,29,0.40000000,0.87652242,2022-02-04 22:15,archive/Sinha_GMD_2022_per_crops,0,187,,,,checked,https://avatars.githubusercontent.com/u/7558558?v=4,
Open Source Python Packages in Hydrology,Holds a list of open source Python packages interesting to Hydrologists.,raoulcollenteur,https://github.com/raoulcollenteur/Python-Hydrology-Tools.git,github,"hydrology,open-source,python,hydrologists",Environmental Knowledge Platforms,2022-02-20 14:39,209,0,66,checked,,stripe,,,,2018-07-06 16:48,CC0-1.0,8,67,2021-11-30 08:42,1,3,4,0,0.33333333,0.04687500,,,0,4,,,,,https://avatars.githubusercontent.com/u/856813?v=4,
windpowerlib,A library to model the output of wind turbines and farms.,wind-python,https://github.com/wind-python/windpowerlib.git,github,"wind,energy,power,model,modelling",Wind Power,2022-02-17 08:56,207,11,52,checked,Python,wind-python,,"Python,Jupyter Notebook",https://oemof.org/,2016-08-26 13:50,MIT,7,1523,2021-11-15 07:32,14,51,105,4,2.20000000,0.37049455,2021-03-09 16:25,v0.2.1,0,8,,,,,https://avatars.githubusercontent.com/u/21263042?v=4,"Adrianonsare/Geospatial-PowerAnalysis,Adrianonsare/EnergyAnalytics,rohitsanam/streamlit-basic-app,montefesp/EPIPPy,thesethtruth/LESO,brizett/reegis_hp,andrewlyden/PyLESA,Pyosch/vpplib,open-fred/lib_validation,reegis/reegis,oemof/feedinlib"
icare,An open source carpooling platform used as a basis for our commercial product Company Carpool.,diowa,https://github.com/diowa/icare.git,github,"carpooling,rails,ridesharing,travel,ruby,heroku",Mobility and Transportation,2022-01-08 19:24,204,0,10,checked,Ruby,diowa,diowa,"Ruby,Slim,JavaScript,SCSS,HTML,Handlebars,Dockerfile,Shell",https://icare.diowa.com/,2012-08-26 18:09,BSD-2-Clause,259,3537,2022-02-19 19:07,15,905,971,2,0.00000000,0.17680744,,,0,5,,,,checked,https://avatars.githubusercontent.com/u/2099801?v=4,
CityLearn,Official reinforcement learning environment for demand response and load shaping.,intelligent-environments-lab,https://github.com/intelligent-environments-lab/CityLearn.git,github,,Energy Modeling and Optimization,2022-02-18 10:23,202,0,83,checked,Python,intelligent-environments-lab,Intelligent Environments Laboratory,"Python,Jupyter Notebook",,2019-06-30 02:41,MIT,59,194,2022-02-20 18:05,2,8,13,1,0.00000000,0.18378378,2021-11-30 22:51,v1.1.0,0,3,,,,,https://avatars.githubusercontent.com/u/29540963?v=4,
oemof-solph,A model generator for energy system modeling and optimization.,oemof,https://github.com/oemof/oemof-solph.git,github,"energy,energy-system,modelling,modelling-framework",Energy Modeling and Optimization,2022-01-20 15:30,202,0,35,checked,Python,oemof,oemof community,"Python,Batchfile",https://oemof.org,2015-11-24 13:38,MIT,107,5547,2022-02-10 09:21,108,345,712,31,0.60000000,0.59428432,2021-06-03 07:21,v0.4.4,0,34,,,checked,checked,https://avatars.githubusercontent.com/u/8503379?v=4,
System Advisor Model,"A simulation program for electricity generation projects. It has models for different kinds of renewable energy systems and financial models for residential, commercial, and utility-scale projects.",NREL,https://github.com/NREL/SAM.git,github,,Energy Modeling and Optimization,2022-02-16 21:40,202,0,55,checked,PowerBuilder,NREL,National Renewable Energy Laboratory,"PowerBuilder,C++,HTML,C,Jupyter Notebook,Python,JavaScript,CMake,CSS,PowerShell,Shell,Dockerfile",,2013-01-10 02:52,BSD-3-Clause,817,14005,2022-02-20 11:05,117,408,828,2,0.60000000,0.65934409,2021-12-03 13:28,2021.12.02.r0.ssc.267,2,22,,,,checked,https://avatars.githubusercontent.com/u/1906800?v=4,
The Low Impact Website,Reduces data transfer by up to 70% in comparison to our regular website.,Organic-Basics,https://github.com/Organic-Basics/ob-low-impact-website.git,github,"shopify,sustainability,co2,nuxtjs,climate",Computation and Communication,2022-02-18 09:24,199,0,69,checked,Vue,Organic-Basics,Organic Basics ApS,"Vue,JavaScript,TypeScript,SCSS,Shell,Makefile",https://lowimpact.organicbasics.com,2020-05-04 15:30,CUSTOM,15,302,2021-12-16 14:12,11,16,19,7,0.30000000,0.38528139,,,0,3,,,,,https://avatars.githubusercontent.com/u/54848514?v=4,
MeteoInfo,GIS and scientific computation environment for meteorological community.,meteoinfo,https://github.com/meteoinfo/MeteoInfo.git,github,"gis,scientific,scientific-computing,meteorology,java,jython",Climate and Earth Science,2022-02-16 04:12,198,0,68,checked,Java,MeteoInfo,meteoinfo,"Java,Python,GLSL,HTML",http://www.meteothink.org/,2019-02-26 10:06,LGPL-3.0,267,865,2021-07-15 14:01,1,2,14,0,0.00000000,0.00000000,2022-02-14 13:11,v3.3.0,0,2,,,,,https://avatars.githubusercontent.com/u/12314696?v=4,
NCL,The NCAR Command Language is a scripting language for the analysis and visualization of climate and weather data.,NCAR,https://github.com/NCAR/ncl.git,github,,Climate and Earth Science,2022-02-16 13:20,197,0,35,checked,C,NCAR,National Center for Atmospheric Research,"C,Roff,Fortran,NCL,M,Shell,sed,Yacc,PostScript,Python,Objective-C,MATLAB,Gnuplot,Perl,Lex,Java,Mathematica,ReScript,XSLT,Makefile",http://www.ncl.ucar.edu,2016-09-01 01:34,CUSTOM,5,14183,2022-01-29 09:30,101,25,78,2,0.40000000,0.34436955,,,0,14,,,checked,checked,https://avatars.githubusercontent.com/u/2007542?v=4,
parcels,"Can be used to track passive and active particulates such as water, plankton, plastic and fish.",OceanParcels,https://github.com/OceanParcels/parcels.git,github,"ocean-circulation-models,lagrangian-ocean-modelling,particles",Salt and Fresh Water,2022-01-26 07:23,197,5,55,checked,Jupyter Notebook,OceanParcels,,"Jupyter Notebook,Python,C,PowerShell,Shell,Batchfile",http://www.oceanparcels.org,2015-09-29 09:43,MIT,297,4915,2022-02-14 07:08,37,642,1063,9,2.60000000,0.55891583,2021-08-13 11:13,v2.3.0,0,38,,,checked,,https://avatars.githubusercontent.com/u/14887518?v=4,"UBC-MOAD/MoaceanParcels,pgader/FundAndAppl-AI-STEM,axiom-data-science/oot-workflows,Orthogonal-Research-Lab/CGS,jimboH/CGS"
dataRetrieval,"This R package is designed to obtain USGS or EPA water quality sample data, streamflow data and metadata directly from web services.",USGS-R,https://github.com/USGS-R/dataRetrieval.git,github,"r,usgs,rstats,r-package",Water Supply,2022-02-18 13:59,195,0,23,checked,R,USGS-R,USGS-R,R,https://waterdata.usgs.gov/blog/dataretrieval/,2013-01-14 20:02,CUSTOM,109,2201,2022-02-18 18:13,9,332,602,0,0.90000000,0.13838269,2021-03-18 00:23,v2.7.7,0,17,,,,,https://avatars.githubusercontent.com/u/3188813?v=4,
VIC,A macroscale hydrologic model that solves full water and energy balances.,UW-Hydro,https://github.com/UW-Hydro/VIC.git,github,"hydrology,climate,land-surface,streamflow",Climate and Earth Science,2022-02-17 23:12,191,0,33,checked,C,UW-Hydro,UW Hydro | Computational Hydrology,"C,Python,Fortran,Makefile,Shell,Dockerfile",http://vic.readthedocs.io,2013-02-07 02:30,MIT,9,2773,2021-12-15 02:34,114,484,808,2,0.70000000,0.63208370,2021-12-14 19:34,5.1.0,0,15,,,,checked,https://avatars.githubusercontent.com/u/3475662?v=4,
experiment-impact-tracker,"Meant to be a simple drop-in method to track energy usage, carbon emissions, and compute utilization of your system.",Breakend,https://github.com/Breakend/experiment-impact-tracker.git,github,,Carbon Intensity,2022-01-24 15:34,190,0,46,checked,Python,energyPATHWAYS,,"Python,CSS,HTML",,2019-11-06 05:44,MIT,5,82,2021-06-07 09:14,28,19,43,5,0.30000000,0.25000000,2019-12-31 20:48,0.1.3,0,5,,,,,https://avatars.githubusercontent.com/u/16344026?v=4,
PowerSystems.jl,Provides a rigorous data model using Julia structures to enable power systems analysis and modeling.,NREL-SIIP,https://github.com/NREL-SIIP/PowerSystems.jl.git,github,"julia,powersystems,energy-system,electrical,siip,nrel",Energy Modeling and Optimization,2022-02-15 16:19,189,0,69,checked,Julia,NREL-SIIP,NREL-SIIP,"Julia,Python",https://www.nrel.gov/analysis/siip.html,2017-12-12 21:11,BSD-3-Clause,396,4394,2022-02-18 18:35,26,563,827,2,1.80000000,0.43977747,2022-02-18 20:13,v1.18.5,0,18,,,,checked,https://avatars.githubusercontent.com/u/44615001?v=4,
The Community Earth System Model,"Composed of separate models simultaneously simulating the Earth's atmosphere, ocean, land, river run-off, land-ice, and sea-ice, plus one central coupler/moderator component, it allows researchers to conduct fundamental research into the Earth's past, present, and future climate states.",ESCOMP,https://github.com/ESCOMP/CESM.git,github,"climate,climate-model,ncar",Climate and Earth Science,2022-02-18 21:50,187,0,48,checked,Python,ESCOMP,Earth System Community Modeling Portal,"Python,Makefile,Common Lisp",http://www.cesm.ucar.edu/,2017-11-15 18:10,CUSTOM,81,773,2022-02-16 00:36,22,135,182,0,1.50000000,0.61333333,2021-05-25 22:42,cesm2_3_beta03,0,14,,,checked,,https://avatars.githubusercontent.com/u/33552285?v=4,
Water Network Tool for Resilience,A Python package designed to simulate and analyze resilience of water distribution networks.,USEPA,https://github.com/USEPA/WNTR.git,github,"ord,water,python,modeling,simulation",Water Supply,2022-02-17 08:42,187,28,40,checked,Python,USEPA,U.S. Environmental Protection Agency,"Python,C++,C,Pascal,VBA,SWIG",,2016-07-13 16:33,CUSTOM,217,2979,2022-02-16 23:36,26,117,225,0,0.20000000,0.60018683,2021-08-26 17:12,0.4.0,0,25,,,,,https://avatars.githubusercontent.com/u/1304320?v=4,"KIOS-Research/WDN-Dataset-Generator,corzogac/HILABAPI,illacceptanything/illacceptanything,mi01/epanet-annotator,afmurillo/DHALSIM,jing-2020/streamlit_app,meghnathomas/MAGNets,p-wysocki/WTNR-pipe-leak-detection,pdMa2s/epanet-inp-parser,claussma/wasserversorgung_beispiele,4flixt/2019_WNTR_Surrogate_Model,Abimbola-ai/Oil-and-gas-pipeline-leakage,kattn/Master,GitContainer/wmoc,PizzaShift/CityEnergyAnalyst,BFAnas/RWDN,dankovacek/CIVL555_Presentation,IN-CORE/pyincore,architecture-building-systems/CityEnergyAnalyst,alan-turing-institute/chance-water-distribution,pshassett/CriticalityMaps,Fruktus/graphflow,glorialulu/TSNet,zsc1220/monitoring-point-coverage,worry45678/wntr-analysis,cccristi07/EpanetWrapper,CitiLogics/CloudBurst,worry45678/niniu2"
Brick,"An open-source effort to standardize semantic descriptions of the physical, logical and virtual assets in buildings and the relationships between them.",BrickSchema,https://github.com/BrickSchema/Brick.git,github,,Buildings and Cities,2022-02-19 23:33,186,0,63,checked,Python,BrickSchema,Brick Schema,"Python,Makefile,Shell",http://brickschema.org/,2016-08-31 16:11,CUSTOM,72,738,2022-01-08 16:51,35,224,333,9,0.70000000,0.53906250,2022-02-18 02:32,nightly,0,17,,,,checked,https://avatars.githubusercontent.com/u/41708328?v=4,
eurostat R package,"R tools to access open data from Eurostat, the statistical office of the European Union.",rOpenGov,https://github.com/rOpenGov/eurostat.git,github,"eurostat,eurostat-data,r,ropengov,r-package,cran",Environmental Knowledge Platforms,2022-02-20 01:43,186,0,13,checked,R,rOpenGov,rOpenGov,"R,Shell",http://ropengov.github.io/eurostat,2014-04-21 10:52,CUSTOM,145,1163,2022-02-09 11:00,22,57,207,0,0.70000000,0.41590214,2018-05-20 11:29,v3.2.1,0,15,,,,,https://avatars.githubusercontent.com/u/5463092?v=4,
landscapemetrics,Landscape Metrics for Categorical Map Patterns world_map in R.,r-spatialecology,https://github.com/r-spatialecology/landscapemetrics.git,github,"r,landscape-metrics,spatial,raster,landscape-ecology",Soil and Land,2022-02-18 12:23,181,0,33,checked,R,r-spatialecology,,"R,C++",https://r-spatialecology.github.io/landscapemetrics,2018-03-01 07:55,CUSTOM,77,1651,2022-01-18 08:38,16,87,236,0,0.10000000,0.47475456,2021-09-07 11:34,v1.5.4,0,12,,,checked,checked,https://avatars.githubusercontent.com/u/42056187?v=4,
carbontracker,Track and predict the energy consumption and carbon footprint of training deep learning models.,lfwa,https://github.com/lfwa/carbontracker.git,github,,Carbon Intensity,2022-02-16 16:43,180,0,73,checked,Python,energyPATHWAYS,,Python,,2020-04-21 12:01,MIT,1,105,2021-07-12 09:07,22,0,23,1,0.00000000,0.46666667,,,0,3,,,,checked,https://avatars.githubusercontent.com/u/16344026?v=4,
Climate_Indices,Contains Python implementations of various climate index algorithms which provide a geographical and temporal picture of the severity of precipitation and temperature anomalies useful for climate monitoring and research.,monocongo,https://github.com/monocongo/climate_indices.git,github,,Climate and Earth Science,2022-02-18 21:46,179,0,58,checked,Python,JuliaClimate,,"Python,Jupyter Notebook",,2017-06-13 15:21,CUSTOM,25,1128,2021-12-01 14:04,79,208,383,3,2.00000000,0.02715655,2018-05-15 17:30,v0.1.0-beta,0,8,,,checked,checked,https://avatars.githubusercontent.com/u/41747566?v=4,
CMAQ,Code base for the U.S. EPA's Community Multiscale Air Quality Model.,USEPA,https://github.com/USEPA/CMAQ.git,github,ord,Air Quality,2022-01-27 02:06,178,0,43,checked,Fortran,USEPA,U.S. Environmental Protection Agency,"Fortran,Shell,Makefile,Roff,Perl,Asymptote,C,E,NASL,SystemVerilog,TeX,EmberScript,Python",,2016-09-06 13:36,LGPL-3.0,331,8046,2022-02-09 21:21,0,127,165,0,0.10000000,0.78053991,2022-02-11 16:42,CMAQv5.3.3.1_11Feb2022,0,31,,,,,https://avatars.githubusercontent.com/u/1304320?v=4,
AI for Earth Data Sets,Notebooks and documentation for AI-for-Earth-managed datasets on Azure.,microsoft,https://github.com/microsoft/AIforEarthDataSets.git,github,aiforearth,Environmental Knowledge Platforms,2022-02-16 18:48,175,0,174,checked,Jupyter Notebook,microsoft,Microsoft,"Jupyter Notebook,Python",https://microsoft.github.io/AIforEarthDataSets/,2021-02-18 16:01,MIT,209,276,2021-12-16 16:40,2,22,24,1,0.00000000,0.08823529,,,0,11,,,checked,,https://avatars.githubusercontent.com/u/6154722?v=4,
Calliope,"A framework to develop energy system models, with a focus on flexibility, high spatial and temporal resolution, the ability to execute many runs based on the same base model, and a clear separation of framework and model.",calliope-project,https://github.com/calliope-project/calliope.git,github,"python,pyomo,energy,optimisation,energy-system",Energy Modeling and Optimization,2022-02-18 07:26,173,14,32,checked,Python,calliope-project,Calliope,"Python,TeX,Makefile",https://www.callio.pe,2013-09-18 17:58,Apache-2.0,47,1097,2022-02-07 17:02,48,150,327,2,15.90000000,0.23975410,2022-02-07 17:28,v0.6.8,0,11,,,checked,checked,https://avatars.githubusercontent.com/u/10073020?v=4,"arup-group/calliope,illacceptanything/illacceptanything,rviccinig/Electricity_Modelling_Copy_public,calliope-project/calliope_plot,brynpickering/friendly-calliope,ahilbers/renewable_test_PSMs,NREL/engage,mirrorecho/rwestmusic-operating-theater,mirrorecho/rwestmusic-imaginary,mirrorecho/rwestmusic-folktale,mirrorecho/rwestmusic-roastbeef,mirrorecho/rwestmusic-copper,mirrorecho/rwestmusic-options-changed,mirrorecho/shami"
Stripe Climate Carbon Removal Purchases,Source materials supporting Stripe Climate carbon removal purchases.,stripe,https://github.com/stripe/carbon-removal-source-materials.git,github,,Environmental Knowledge Platforms,2022-02-18 15:41,173,0,67,checked,,stripe,Stripe,,,2020-05-18 07:34,CC0-1.0,11,20,2022-01-03 17:20,0,4,4,0,0.00000000,0.36842105,2021-12-15 17:10,v0.2.0,0,3,,,,checked,https://avatars.githubusercontent.com/u/856813?v=4,
cryptoart-footprint,Estimate the total emissions for popular CryptoArt platforms.,kylemcdonald,https://github.com/kylemcdonald/ethereum-nft-activity.git,github,"ethereum,cryptoart,climate",Computation and Communication,2022-02-15 00:33,173,0,173,checked,Jupyter Notebook,Organic-Basics,,"Jupyter Notebook,Python,Shell",,2021-03-09 01:50,MIT,82,83,2022-01-10 06:55,1,6,13,0,0.33333333,0.24390244,,,0,3,,,,,https://avatars.githubusercontent.com/u/54848514?v=4,
